Cửa hàng,Tổng shipment,Đơn hủy,Đơn đã giao,Đơn trễ giao,Tỉ lệ trễ (%),Số ngày trễ TB
SHOP - 170 QUOC LO 1A,27122,11994,14308,6678,46.7,2.43
SHOP - 477 LE VAN THO,1807,710,1074,744,69.3,1.68
SHOP - DUONG D6-5A,1444,268,1145,615,53.7,1.41
SHOP - 517 PHU LOI,1986,473,1455,614,42.2,1.68
SHOP - 113 LE LOI,1146,108,1029,590,57.3,2.04
SHOP - 34 DT 746,1714,326,1342,545,40.6,1.70
SHOP - 295 GIAI PHONG,2040,641,1313,515,39.2,1.43
SHOP - 1207 NGUYEN DUY TRINH,1140,251,864,491,56.8,1.54
SHOP - 160 30 THANG 4,874,142,691,477,69.0,1.67
SHOP - 113 LUONG KHANH THIEN,1329,262,1014,475,46.8,2.04
SHOP - 58 LY THANH TON,847,171,647,475,73.4,1.93
SHOP - 10 HUNG VUONG,1050,212,800,470,58.8,2.40
SHOP - 11 QUANG TRUNG,1839,484,1307,469,35.9,1.84
SHOP - 67 DANG THUC VINH,1376,345,1006,465,46.2,2.22
SHOP - 224 HUNG VUONG,1846,428,1389,452,32.5,1.56
SHOP - 109 HUNG VUONG,1475,335,1111,448,40.3,1.77
SHOP - 726 HUYNH TAN PHAT,1333,424,889,438,49.3,1.43
SHOP - 7 TINH LO 43,1027,215,790,434,54.9,2.09
SHOP - 362 DONG KHOI,1111,313,765,425,55.6,2.51
SHOP - 63 LE HONG PHONG,1005,194,795,422,53.1,1.63
SHOP - 1 22 THANG 12,1320,193,1085,420,38.7,1.50
SHOP - 1 QUOC LO 53,1359,219,1123,412,36.7,1.70
SHOP - 300 LY THUONG KIET,1589,366,1199,405,33.8,1.77
SHOP - 238 TRAN PHU,1524,309,1185,404,34.1,1.31
SHOP - 303 HUNG VUONG,967,185,769,399,51.9,1.93
SHOP - 132 NGUYEN HUU THO,1085,171,899,395,43.9,1.70
SHOP - 389 HUNG VUONG,1310,399,873,391,44.8,1.63
SHOP - 407 NGUYEN TRUNG TRUC,1052,186,841,384,45.7,1.48
SHOP - 188 HUNG VUONG,1116,219,883,383,43.4,1.35
SHOP - 212 LE LOI,1416,273,1099,374,34.0,2.29
SHOP - 594 NGUYEN VAN CU,730,173,499,372,74.5,1.44
SHOP - 71 TRAN HUNG DAO,1677,364,1277,364,28.5,1.59
SHOP - 241 NGUYEN TAT THANH,1115,190,905,361,39.9,1.94
SHOP - 4 TAY NAM,1252,279,947,356,37.6,1.73
SHOP - 205 QUOC LO 50,931,210,698,353,50.6,1.72
SHOP - 39 TRAN PHU,1165,243,892,352,39.5,1.76
SHOP - 649 30 THANG 4,788,149,624,351,56.3,1.80
SHOP - 174 PHAN DINH PHUNG,1840,507,1294,349,27.0,1.64
SHOP - 384 NGUYEN TAT THANH,1168,199,949,343,36.1,1.82
SHOP - 79 XUAN LA,937,261,653,339,51.9,2.05
SHOP - 122 TRAN HUNG DAO,968,298,648,339,52.3,2.17
SHOP - 70 LE VAN KHUONG,1175,603,546,328,60.1,1.91
SHOP - 329 TON DUC THANG,843,177,640,324,50.6,2.27
SHOP - 70 TRAN HUNG DAO,904,186,709,319,45.0,1.71
SHOP - 276 QUANG TRUNG,1291,586,655,313,47.8,2.08
SHOP - 106 NGUYEN TAT THANH,1059,229,805,310,38.5,2.04
SHOP - 1967 DT 768,677,145,517,310,60.0,2.45
SHOP - 124 30 THANG 4,1002,218,764,307,40.2,2.02
SHOP - 554 LE HONG PHONG,791,140,603,305,50.6,2.31
SHOP - 121 BA TRIEU,1270,308,944,302,32.0,1.71
SHOP - 191 DO TUONG PHONG,492,98,385,299,77.7,2.13
SHOP - QUOC LO 51,632,103,515,293,56.9,1.80
SHOP - 68 TINH LO 8,1284,432,839,293,34.9,1.72
SHOP - 22 HUYNH MINH THANH,896,150,735,290,39.5,1.64
SHOP - E4 DUONG N9,915,266,636,290,45.6,1.66
SHOP - 83 MAC THIEN TICH,814,99,703,286,40.7,2.10
SHOP - 284 BUI THI XUAN,884,147,705,284,40.3,2.28
SHOP - 60 NGUYEN CONG TRU,1092,220,853,284,33.3,1.76
SHOP - 174 NGUYEN DU,810,172,612,283,46.2,2.06
SHOP - 125 TRAN PHU,1358,268,1070,283,26.4,1.77
SHOP - 457 NGUYEN VAN TAO,701,154,534,282,52.8,2.14
SHOP - 2857 LUONG DINH CUA,714,98,592,282,47.6,2.38
SHOP - 240 TINH LO 825,1080,327,695,281,40.4,1.88
SHOP - 141 CACH MANG THANG 8,1422,198,1196,281,23.5,2.09
SHOP - 104 PHAN CHU TRINH,1180,337,826,279,33.8,1.28
SHOP - 1261 PHAM HUNG,1135,698,404,278,68.8,1.44
SHOP - 392 NGUYEN VAN QUA,1093,451,623,275,44.1,1.45
SHOP - 1130 DT 747B,655,144,496,271,54.6,1.40
SHOP - 66 TRUONG DINH,1124,206,885,271,30.6,2.02
SHOP - 5 TRAN HUNG DAO,606,102,475,271,57.1,2.62
SHOP - 50 TAY LAN,1216,601,606,270,44.6,2.14
SHOP - 49 DOC LAP,755,155,584,269,46.1,2.27
SHOP - 194 LUONG NGOC QUYEN,766,164,583,268,46.0,1.69
SHOP - 274 GO XOAI,660,183,458,262,57.2,2.33
SHOP - 20 NGUYEN HUU THO,631,123,494,260,52.6,2.80
SHOP - 158 TRAN HUNG DAO,930,175,734,259,35.3,2.22
SHOP - 108 PHUNG HUNG,769,229,510,258,50.6,2.28
SHOP - 129 MAI THI HONG HANH,992,200,769,257,33.4,1.78
SHOP - 76 PHAN VAN HON,937,415,506,255,50.4,1.96
SHOP - 975 DOAN NGUYEN TUAN,625,179,444,255,57.4,1.88
SHOP - 1016 QUOC LO 91,1184,212,962,254,26.4,1.83
SHOP - 2 QUOC LO 22B,1000,243,736,252,34.2,1.53
SHOP - 232 PHAN BOI CHAU,987,311,656,247,37.7,1.37
SHOP - 635 QUOC LO 14,1012,255,732,247,33.7,2.08
SHOP - 277 TRAN HUNG DAO,1490,370,1097,244,22.2,1.41
SHOP - 137 NGUYEN TRAI,1082,370,656,240,36.6,1.73
SHOP - 384 PHAN BOI CHAU,737,131,587,240,40.9,2.29
SHOP - 214 QUOC LO 62,741,141,576,239,41.5,1.96
SHOP - 553 DT 767,756,202,528,238,45.1,2.25
SHOP - 59 MAI THUC LOAN,917,191,711,237,33.3,2.38
SHOP - 254 VO THI SAU,804,158,644,237,36.8,2.02
SHOP - 199 HUNG VUONG,1357,279,1050,236,22.5,1.60
SHOP - 62 NGUYEN PHUOC LAN,419,39,375,236,62.9,2.29
SHOP - 78 DT 835,595,135,444,234,52.7,2.10
SHOP - 334 DINH BO LINH,877,160,698,231,33.1,1.84
SHOP - 348 NGUYEN CHI CONG,925,183,731,230,31.5,1.85
SHOP - 475 QUOC LO 91,826,183,629,230,36.6,2.01
SHOP - 2705 QUANG TRUNG,940,183,749,226,30.2,2.09
SHOP - 151 QUOC LO 9,955,189,743,223,30.0,2.40
SHOP - 44 NGUYEN HUY TUONG,850,226,615,222,36.1,2.07
SHOP - 129 PHAM NGU LAO,637,119,500,221,44.2,2.39
SHOP - 67 THU Y,913,266,618,221,35.8,1.95
SHOP - 349 LE LOI,1006,192,790,218,27.6,1.61
SHOP - 90 NGUYEN HUE,735,115,608,217,35.7,2.24
SHOP - 78 HAI BA TRUNG,738,144,579,216,37.3,1.85
SHOP - 1099 HUNG VUONG,878,148,725,216,29.8,2.06
SHOP - 219 KHAM THIEN,702,195,468,215,45.9,2.13
SHOP - 545 TRAN NHAN TONG,663,102,556,215,38.7,2.26
SHOP - 447 QUANG TRUNG,832,138,663,213,32.1,2.52
SHOP - 182 PHAN DANG LUU,1022,206,792,212,26.8,1.96
SHOP - 125 NGUYEN TRUNG TRUC,393,45,343,211,61.5,3.01
SHOP - 461 NGUYEN BINH,528,74,447,210,47.0,1.98
SHOP - 183 TRAN QUY CAP,788,178,594,208,35.0,1.42
SHOP - 562 THONG NHAT,849,151,690,207,30.0,1.51
SHOP - 305 NGUYEN NGHIEM,1492,465,991,202,20.4,2.38
SHOP - 7 QUOC LO 50,523,87,424,201,47.4,2.17
SHOP - 479 30 THANG 4,543,95,437,196,44.9,2.21
SHOP - 2203 HUNG VUONG,782,139,628,196,31.2,2.09
SHOP - 459 NGUYEN DANG,600,215,350,190,54.3,1.73
SHOP - 140 LE LOI,561,90,452,187,41.4,2.28
SHOP - 62 VO THI SAU,512,98,405,187,46.2,2.24
SHOP - 130 NGO QUYEN,598,82,510,185,36.3,2.22
SHOP - 142 HAI BA TRUNG,614,121,482,181,37.6,2.20
SHOP - 251 THOI HOA,372,59,301,180,59.8,2.18
SHOP - 21 QUOC LO 20,788,165,615,176,28.6,1.61
SHOP - 269 PHAM VAN DONG,474,77,390,176,45.1,1.33
SHOP - 45 NGUYEN TAT THANH,400,47,348,176,50.6,2.60
SHOP - 39 QUOC LO 13,598,100,486,174,35.8,1.94
SHOP - 17 VAN DON,659,126,525,171,32.6,2.27
SHOP - 33 LE XOAY,517,96,398,169,42.5,2.24
SHOP - 699 QUOC LO 61,438,52,379,169,44.6,2.52
SHOP - 1009 TRAN HUNG DAO,703,111,577,164,28.4,2.66
SHOP - 104 QUANG TRUNG,559,120,423,163,38.5,2.19
SHOP - 346 TRAN HUNG DAO,963,218,733,162,22.1,2.19
SHOP - 398 2 THANG 4,584,112,466,162,34.8,2.02
SHOP - 26 BUI VAN HOA,497,194,291,158,54.3,2.21
SHOP - 88 TRAN PHU,460,82,362,157,43.4,2.31
SHOP - 133 BIEN HOA,564,106,443,157,35.4,2.27
SHOP - 1488 QUOC LO 30,437,59,371,150,40.4,2.27
SHOP - 75 DONG KHOI,714,359,274,149,54.4,1.34
SHOP - 542 QUOC LO 20,418,40,374,148,39.6,2.71
SHOP - 58 HUNG VUONG,685,116,562,148,26.3,1.59
SHOP - 895 TRAN HUNG DAO,623,132,479,143,29.9,2.58
SHOP - 137 DIEN BIEN,638,143,474,140,29.5,2.58
SHOP - 2184 QUOC LO 20,610,137,469,133,28.4,1.32
SHOP - 62 NGUYEN TAT THANH,345,26,315,130,41.3,1.95
SHOP - 88 TRAN DANG NINH,289,58,207,125,60.4,3.15
SHOP - 49 PHU LOI,464,43,411,124,30.2,1.68
SHOP - 116 QUOC LO 14,292,29,259,122,47.1,1.72
SHOP - 191 PHAM VAN DONG,606,108,481,119,24.7,1.97
SHOP - 1395 TRAN HUNG DAO,499,53,417,117,28.1,1.48
SHOP - 168 AP CHANH,396,44,349,114,32.7,1.95
SHOP - 22 CAO SON PHAO,160,12,144,106,73.6,2.99
SHOP - 61 AN MY,209,24,181,97,53.6,2.76
SHOP - 244 DONG DA,445,70,370,68,18.4,1.66
SHOP - 152 QUOC LO 1,150,14,133,45,33.8,1.51
SHOP - 676 DIEN BIEN,210,43,128,35,27.3,2.29
SHOP - 231 TRAN NGUYEN HAN,58,16,28,17,60.7,1.82
SHOP - 568 LUY BAN BICH,118,19,85,9,10.6,2.00
SHOP - 1125 QUANG TRUNG,36,4,28,6,21.4,3.00
SHOP - 392 LY THAI TO,28,7,18,5,27.8,1.00
SHOP - 49 NGO MAY,13,6,6,4,66.7,2.00
SHOP - 1912 QUOC LO 51,11,3,7,3,42.9,2.00
SHOP - 304 THONG NHAT,4,0,3,2,66.7,4.00
SHOP - 432 CACH MANG THANG 8,10,3,6,1,16.7,3.00
SHOP - 133 HIEP BINH,9,5,4,1,25.0,1.00
SHOP - 34 PHAN VAN HON,5,2,3,1,33.3,1.00
SHOP - 276 XO VIET NGHE TINH,5,3,2,1,50.0,1.00
SHOP - 181 KHANH HOI,4,2,2,1,50.0,2.00
SHOP - 608 NGUYEN DUY TRINH,6,4,2,1,50.0,7.00
SHOP - 36 LE VAN CHI,1,0,1,1,100.0,1.00
SHOP - 531 DO XUAN HOP,5,3,2,1,50.0,2.00
SHOP - 555 3 THANG 2,5,2,3,1,33.3,2.00
SHOP - 81 HO TUNG MAU,7,2,5,1,20.0,1.00
SHOP - 447 KHA VAN CAN,5,2,3,1,33.3,1.00
SHOP - 342 LE VAN SY,4,2,2,1,50.0,3.00
SHOP - 443 DIEN BIEN PHU,2,1,1,1,100.0,3.00
SHOP - 50 PHAM VAN CHIEU,8,6,2,1,50.0,1.00
SHOP - 65 DUONG THI MUOI,2,0,2,1,50.0,1.00
SHOP - 36 NGUYEN ANH THU,3,2,1,1,100.0,1.00
SHOP - 18 MAN THIEN,2,1,1,1,100.0,2.00
SHOP - A30 QUOC LO 50,4,3,1,1,100.0,1.00
SHOP - C9 VO VAN VAN,131,130,1,0,0.0,0.00
SHOP - 136 TRUNG HOA,1,1,0,0,0.0,0.00
SHOP - 261 LE QUANG DINH,9,5,4,0,0.0,0.00
SHOP - 57 QUANG TRUNG,3,1,2,0,0.0,0.00
SHOP - 11 CACH MANG THANG 8,3,3,0,0,0.0,0.00
SHOP - 168 TRUNG NU VUONG,2,1,1,0,0.0,0.00
SHOP - 167 NGUYEN XI,5,1,4,0,0.0,0.00
SHOP - 304 LE VAN QUOI,1,0,1,0,0.0,0.00
SHOP - 194 AP BAC,7,7,0,0,0.0,0.00
